msno,cutoff_time,label,days_to_churn,churn_date
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2015-08-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2015-09-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2015-10-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2015-11-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2015-12-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-01-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-02-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-03-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-04-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-05-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-06-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-07-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-08-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-09-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-10-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-11-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2016-12-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2017-01-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2017-02-01,0.0,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2017-03-01,,,
++bK0FRJecXCogqXdjtO2Kyb3jq7uLM7qThTk+nN8tE=,2017-04-01,,,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-01-01,0.0,75.0,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-02-01,1.0,44.00000000000001,2016-03-16
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-03-01,,15.0,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-04-01,,,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-05-01,,,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-06-01,,,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-07-01,,,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-08-01,,,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-09-01,,,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-10-01,0.0,,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-11-01,,,
+0STIeZNRNVHd561CaWnwJVvjaV+FLW+pAYK6sfmKXQ=,2016-12-01,,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-03-01,0.0,92.0,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-04-01,,61.0,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-05-01,1.0,31.0,2015-06-01
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-06-01,0.0,0.0,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-07-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-08-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-09-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-10-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-11-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2015-12-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-01-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-02-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-03-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-04-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-05-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-06-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-07-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-08-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-09-01,0.0,,
+8BSu/tg0Y7DIY+q1S1mgHnFSQkRvb+/QVdwE7KMFU0=,2016-10-01,0.0,,
