msno,city,bd,gender,registered_via,registration_init_time
8hW4+CV3D1oNM0CIsA39YljsF8M3m7g1LAX6AQd3C8I=,4,24,male,3,2014-11-04
yhcODfebyTYezE6KAPklcV1us9zdOYJ+7eHS7f/xgoU=,8,37,male,9,2007-02-11
sBlgSL0AIq49XsmBQ2KceKZNUyIxT1BwSkN/xYQLGMc=,15,21,male,3,2013-02-08
Xy3Au8sZKlEeHBQ+C7ro8Ni3X/dxgrtmx0Tt+jqM1zY=,1,0,,9,2015-02-01
NiCu2GVWgT5QZbI85oYRBEDqHUZbzz2azS48jvM+khg=,12,21,male,3,2015-02-12
npUYVFIfcDNzwvquPAiLThkz8XcEpdHNErgG1jdqcWU=,1,0,,4,2017-02-01
lTpou1V0C3vGuA8s+1Vw9xDJcVMkhqPqWjSeYa0FwaM=,1,0,,4,2016-08-17
d5TNIO1oMPTQO7+lSudjJlCuuwLzmz75C/EpNeYfTIg=,1,0,,4,2016-10-16
Ec2uTWAFeJZ6I8Md4EUWvMghBnvfQqKIYV/jI8QE9v0=,1,0,,4,2016-10-24
rkJs38JE83hm+06cIVQXjzpkY2VDIslYrGvXekzDsrY=,21,26,male,7,2012-02-15
ixMndNG1gOKxwmtMhYrmISRexvNuwWMtBUnSb9pga/M=,13,28,female,9,2013-04-26
q6Z1VXCcGWoYQlKPHYftD8+5Ve5ZHwJQ0uE6em/APhI=,4,27,female,9,2013-05-18
QUyR5K9tMbgF/MtjNEN/plLsGiWqhjgj8GN6nCH3Cfk=,4,55,male,3,2015-09-08
F7bdzJADYhRxedlHWiDxJrzsjQdTDVeNnKSs9AJvUbI=,1,0,,9,2014-05-21
FXyDUuhygge9IJw5E6RLg3dTDcVlULQSMKVRFqfTaVc=,1,0,,4,2017-01-23
EkzJSIKDPpgAekuCeQ+Lu7Oc7upU+hv7B1GDv5/al1E=,7,22,male,7,2014-11-04
L6rS/f4M248ZQro+JSsmJhxNkVmBcm2OUr1WmjrYQsY=,15,18,female,3,2015-08-26
17Q4xwmH/tUAfmshlI21lnf4JmYLWl6fKjGEHaRNa/Y=,1,0,,7,2015-09-17
xuxuAYDFYug1H7mbWJQ7Naoaqm5u+YFlkLZTrEfgj1U=,1,0,,3,2014-06-25
iawNwU/J0gjglUOw4TZSmr7C3UMae5VhAgVF5R1MJd0=,13,44,female,9,2005-11-05
P02Xc3MroQaPINzeLQaAzVFw29hy3we+hDjiKOspNEw=,5,48,female,9,2007-11-24
GUGoX/F4HE2JMatK0fSELz4fPE4JzloTaMeciiif08o=,1,0,,4,2017-01-05
rfzYx+2VvVOpajZZj3g+S/iOOCJHvBVA/5eGOAaxqeM=,4,26,female,4,2017-01-16
