msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
5F7G3pHKf5ijGQpoKuko0G7Jm3Bde6ktfPKBZySWoDI=,41,30,99,99,1,2017-02-10,2017-03-10,0
DQMPoCSc6EB39ytgnKCRsUIZnR6ZWSrHeDmX7nbxAKs=,41,30,149,149,1,2016-02-01,2016-03-02,0
Lrais3nsgqYwpfpSoyK3fHuPutf6cloTI5T5dQfs4lA=,38,30,149,149,0,2016-02-23,2016-04-23,0
ZPOjgxQw1/J7v5xgBJTCLXWuwq5Xmk33nO6AoUO1+mY=,41,30,149,119,1,2015-09-06,2016-08-01,0
MvR23u4bIiWM+U+VE1Mvw3qqdj/0Ixs1sf7avavjhRs=,38,30,149,149,0,2016-10-28,2016-11-27,0
ckzTTVSWhOxRlwtTQQwaz5TSwKizN/l5n0kk8qczWZE=,41,30,99,99,1,2017-01-22,2017-02-22,0
foo81UKtRJZ1hLpHW+RYtURXoJWIwKpZLLJPgPAADQM=,38,30,149,149,0,2016-07-03,2016-08-02,0
sYLjSIsBT0XiTIdOH05jgKYBOTTHr6c/CPmdnHiT9LM=,40,30,149,149,1,2017-02-04,2017-03-03,0
7dYkWccFU7skVsV5pKxCrFBtHosvVUMs1j2P0Fxfca0=,40,30,149,149,1,2016-03-05,2016-04-04,0
k/DacM4rtMcZtPp37ZhG6qQemkRyvtcLHqoUt/RHVvg=,41,30,149,149,1,2016-09-26,2016-10-27,0
CVrNgkh/sNNSr6R2/muBzZ4dinEO7bmfH4ELSmLwW2g=,41,30,149,149,1,2017-02-09,2017-03-10,0
4/vSkL6L0pqUiKChoafDmUu25EHN4wyFWqLE4EXwJZs=,41,30,149,149,1,2015-05-18,2015-06-18,0
zXGfAxAh4oEtGfDA4Ac5/RxPJZIeAKiAT8p/mbSAOvA=,38,30,149,149,0,2015-10-29,2015-11-28,0
jM49kmso/zwYV75nCdNv27F27/XchwF71aFPywk9fw4=,39,30,149,149,1,2015-07-31,2015-09-03,0
6lRfZ3PZXHy9qCrnDe+ufeSoQR1M9blC1YUwKu7IqXA=,41,30,99,99,1,2017-02-07,2017-03-07,0
yXKOSbR/WqeNDMoqBZU7ap0YOIBIGuSqZcDIzsqwXeE=,40,30,149,149,1,2015-08-21,2015-09-20,0
eydbzlueEMco0GTXnROBc73OGnkz/x+ruzFc32gJVDs=,37,0,0,149,1,2015-05-09,2015-06-08,0
qbU6vhnZ/yVwTmwrcztRzhZ+aZVZKIwGwAcXuhJeMNs=,41,30,149,149,1,2015-02-04,2015-03-04,0
PwB0yZDLHNcP5mcwoBjB1VovnA3QIj4tMtcNJAZTGSY=,37,30,149,149,1,2016-08-15,2016-09-15,0
ADTPl617yzhLwPJbC5l0x5Heue53+hkdBFw+RiHqXFY=,34,30,149,149,1,2016-06-30,2016-07-31,0
h1yFocTyOf+yk6U6qatj3oFsrOwxvBqrzVNP99c1fdY=,41,30,129,129,1,2016-10-04,2016-11-04,0
LtzFnlJJXmokqelgmyPcZV3ZbSvYG1oY+1IHocYzgfs=,38,30,149,149,0,2016-02-04,2016-03-05,0
87FO0ov3NbAvKOeix/gIG55gpM2ykcA1ALZ4DD6Ef2Y=,41,30,149,119,1,2015-03-21,2015-04-24,0
LH9NrH31zn/i6p8Wihu9yO5gd0ZMLptskYYqFvXoR+o=,41,30,99,99,1,2016-09-16,2016-10-16,0
WVTAVN5R9+kImNrNbkCj9KQJxgQ/p/8EstIVQ6J8FpI=,34,30,149,149,1,2017-02-28,2017-03-31,0
qWcHUCjHyHgP8wFG1QwSTXfhGrS8OVjcfPJCM+ZpjoI=,31,0,0,149,1,2015-08-31,2015-09-30,0
OQyuQLv+ZpwOSs9keu2VsnQ6YgS0EUuSagUC9v7SJNA=,41,30,149,149,1,2017-01-10,2017-02-11,0
p2QClaxLxHzy06SJSpz/oEE1GNIB4kX2ioYrIQb2E30=,41,30,149,149,1,2016-02-13,2016-03-14,0
C5n+T8ezjLNVyNUlRyQPVmaR0pAC3hwfiDbyIswgyCk=,41,30,99,99,1,2015-07-19,2015-08-18,0
IB3hMKHM5xWuFU7DTOzFIOxI9mps1vcOPQrtfvf2uGg=,35,7,0,0,0,2015-06-07,2015-06-15,0
lGLE8OaIiFxK+YGzjJxsGEqvlFMiyFvWSY2CzvCDXb0=,37,30,149,149,1,2017-02-16,2017-03-15,0
69tihm91roH4FY30zSO0IQarnOoKwVxgFss1wurgooo=,41,30,149,149,1,2015-06-11,2015-07-11,0
5obtDD6wLkmfzHs5osnWR06/yyI5Zf+SkzZI6esAI2I=,41,30,99,99,1,2016-12-22,2017-01-22,0
JNUUB3Q1soFXmzV3ofIJg0KERsKZ2zDSciZ11XqG/YM=,41,30,129,129,1,2015-07-25,2015-08-28,0
MkwAuJ/irz/Ij3jxqStjO+J3swZWnYZH7lwBrkiEGMU=,41,30,99,99,1,2017-01-08,2017-02-08,0
tfAVvmmCKRyqte4JvGpxJF2zr3KLxWCJZCEnXlbKNc4=,41,30,149,0,1,2015-08-04,2015-09-03,0
bywZY48Hv3gmgYLQCRVCMtafzdJnf1PM+5ZtLOXLB5k=,39,30,149,149,1,2015-07-11,2015-08-01,1
Q9galq0UIereYMZlAxp6u0nijFFAbEAp3/FCXOLU4bU=,41,30,149,149,1,2015-12-08,2016-01-08,0
3pvxZ6nLFQodwHreopBKftbROOEGB7ShUmGMnCnCaH0=,39,30,149,149,1,2016-08-31,2016-10-23,0
21//lEC2LEBJltNb45WbNluvr63PFsOb0jMdn+NsWmo=,39,30,149,149,1,2015-08-31,2015-10-02,0
Qy7eA8x4LsYqen8o8IeEbH+8FX8SAnMrG2INfVKhkAA=,41,30,149,149,1,2015-05-31,2015-06-30,0
tz495+tHbuAlYmx2jXfpYcy86bGzn95H7nuRK/RcGLg=,40,30,149,149,1,2016-10-12,2016-11-11,0
uGWALyvhYZmFZ8TTBQ0nktWN7kEttety7ltms9g1DBs=,41,30,99,99,1,2017-02-06,2017-03-06,0
qdjJSoePZUKKz+G9XaTTksqj7R1GPOmQroq9v59IxnQ=,41,30,149,149,1,2016-03-19,2016-04-19,0
4o+f2q0dh3/LeqvRuVA/3TmEpv6aWXtGGH0UyWNpKR8=,41,30,129,129,1,2016-07-20,2016-08-21,0
zB2d/lhgJgJ6kskaS3uwBM0WO4cpv7VKZU2q5rPCa6Q=,41,30,99,99,1,2016-12-19,2017-01-19,0
GYsqC7BQm2jxsXpCXqKmUKL0pziRBiVlNyusbkcw++A=,39,30,149,149,1,2016-10-31,2016-12-17,0
+FMjiiorqZQ3ZzNNmgO0vZM2yh8IHPvWSvwy2fSBMLU=,41,30,149,149,1,2016-07-31,2016-09-01,0
L9iq2qqf4JTJrd39zcOKC5Rdlf91uMbZAZCufwMKoiY=,41,30,99,99,1,2016-08-12,2016-09-12,0
LB2qhOyXiv2ebuYmJteA4mcjhhVvEzhptDn65Sf2bt0=,40,31,149,149,1,2015-01-16,2015-02-15,0
MkwAuJ/irz/Ij3jxqStjO+J3swZWnYZH7lwBrkiEGMU=,41,30,99,99,1,2017-02-08,2017-03-08,0
x57F9naQD6rbQ1O9hQcRD/RSJRDqt9BKzR62hC9YDq4=,41,30,99,99,1,2016-08-04,2016-09-04,0
APi+PfeiNOwli8TQlLxA5/j6CGa2mc13IxRvVk8w70I=,41,30,99,99,1,2016-07-07,2016-08-07,0
is2Wk+OmO9SS3PWuE+fymMgh4CjvXru0dremKgo0UMQ=,41,30,149,0,1,2016-08-07,2016-09-07,0
GOxX6SkyzVp41MPYcWkryaI9JSSit1H0hnjMsR2HSHk=,41,30,99,99,1,2016-02-23,2016-03-23,0
lA4OT5FhGxJLjawR21dWKqZWGzsW9DY8jFKJXmDo/a0=,40,31,149,149,1,2015-02-09,2015-03-08,0
eJBMEJcvWsZkygjA3wqea+f6AVaAxyMAcN8QnRG8N40=,41,30,99,99,1,2015-12-25,2016-01-25,0
GZhOAWnF4TwQuqko+1pNtF9MmQhDWapNJzInNZMaLZw=,37,30,149,149,1,2016-05-09,2016-06-09,0
lG7DvAGMUK/aGNT+emRndIEduaQIRnyjvJ9rorONn90=,40,30,149,149,1,2015-12-18,2016-01-17,0
JFgNkjbNAFXcvG4AVaY5Dr6KdO7bJJgezX5RPlwivc0=,38,30,149,149,0,2015-06-16,2015-07-18,0
9kBwpuVxX5qZYpWy/koCatB0Ic/TCm5urJ5FClj20OI=,41,30,149,149,1,2015-06-14,2015-07-14,0
BNez2INTWoLExkzbX1F7FIVetlE2DKXrf0c62I0gD/M=,41,30,149,149,1,2015-12-31,2016-01-31,0
fHIfIC7Y/+AupqrErGFnBeJEvpZGoIPlDTPuCteoP44=,39,30,149,149,1,2015-05-31,2015-08-11,0
4JkNMKBEG9XZPdxwSGIauO9ZQPP1FXUnEyxDRjGJuBc=,40,30,149,149,1,2016-07-11,2016-08-13,0
0WG5jdgsF2487P/RmmGNJlfQbjWM7RG+OPIp8g8oxZk=,36,30,180,180,1,2016-12-11,2017-01-10,0
Z6YiBxplWS8AHjIA0xhqWVTmCP4dJ8osqVUCXP10MQA=,40,30,149,149,1,2016-06-07,2016-07-06,0
NoG2xGdXUOSvcX88IpEO9oFMVJTB98parVbBnqeS/Wc=,33,30,149,149,1,2016-08-31,2016-09-30,0
5huMsGxTZr7FX4ykOtgUsVxnb65TekWaVxlobdtU4gg=,30,30,129,129,1,2016-08-18,2016-09-17,0
gKoyVcs1ERmR2T2soU8Ug/xFRUmhqLOyWVVOvzSZyVo=,41,30,99,99,1,2016-07-27,2016-08-27,0
